0.00  ,  30.67  ,  78.00  ,  0.00  ,  290.00  ,  32.00  ,  
0.00  ,  36.67  ,  79.00  ,  0.00  ,  279.00  ,  10.00  ,  
0.00  ,  34.00  ,  78.00  ,  0.00  ,  264.00  ,  0.00  ,  
0.00  ,  36.00  ,  74.00  ,  0.00  ,  238.00  ,  0.00  ,  
0.00  ,  30.00  ,  71.00  ,  0.00  ,  198.00  ,  0.00  ,  
0.00  ,  28.00  ,  67.00  ,  0.00  ,  147.00  ,  0.00  ,  
0.00  ,  32.00  ,  65.00  ,  0.00  ,  86.00  ,  0.00  ,  
0.00  ,  31.33  ,  71.00  ,  0.00  ,  23.00  ,  0.00  ,  
0.00  ,  28.00  ,  76.00  ,  0.00  ,  0.00  ,  0.00  ,  
0.00  ,  24.67  ,  79.00  ,  0.00  ,  0.00  ,  0.00  ,  
0.00  ,  27.33  ,  88.00  ,  0.00  ,  0.00  ,  0.00  ,  
0.00  ,  24.00  ,  80.00  ,  0.00  ,  0.00  ,  0.00  ,  
0.00  ,  22.67  ,  70.00  ,  0.00  ,  0.00  ,  0.00  ,  