0.00  ,  338.00  ,  180.00  ,  68.00  ,  321.00  ,  
0.00  ,  257.00  ,  172.00  ,  69.00  ,  319.00  ,  
0.00  ,  177.00  ,  163.00  ,  65.00  ,  329.00  ,  
0.00  ,  92.00  ,  151.00  ,  75.00  ,  315.00  ,  
0.00  ,  138.00  ,  144.00  ,  69.00  ,  298.00  ,  
0.00  ,  197.00  ,  141.00  ,  46.00  ,  294.00  ,  
0.00  ,  227.00  ,  136.00  ,  78.00  ,  296.00  ,  
0.00  ,  285.00  ,  139.00  ,  36.00  ,  313.00  ,  
88.00  ,  363.00  ,  155.00  ,  41.00  ,  330.00  ,  
135.00  ,  432.00  ,  166.00  ,  71.00  ,  329.00  ,  
233.00  ,  479.00  ,  171.00  ,  46.00  ,  316.00  ,  
312.00  ,  469.00  ,  170.00  ,  54.00  ,  313.00  ,  
356.00  ,  487.00  ,  164.00  ,  59.00  ,  303.00  ,  
335.00  ,  466.00  ,  156.00  ,  30.00  ,  296.00  ,  
327.00  ,  431.00  ,  147.00  ,  29.00  ,  296.00  ,  
280.00  ,  439.00  ,  146.00  ,  38.00  ,  292.00  ,  
194.00  ,  429.00  ,  149.00  ,  28.00  ,  299.00  ,  
200.00  ,  382.00  ,  148.00  ,  53.00  ,  320.00  ,  
121.00  ,  318.00  ,  149.00  ,  25.00  ,  324.00  ,  
73.00  ,  270.00  ,  150.00  ,  15.00  ,  316.00  ,  
141.00  ,  264.00  ,  147.00  ,  42.00  ,  315.00  ,  
195.00  ,  255.00  ,  146.00  ,  43.00  ,  311.00  ,  
279.00  ,  263.00  ,  147.00  ,  55.00  ,  304.00  ,  
355.00  ,  273.00  ,  151.00  ,  49.00  ,  297.00  ,  
390.00  ,  274.00  ,  157.00  ,  53.00  ,  288.00  ,  
425.00  ,  287.00  ,  159.00  ,  73.00  ,  287.00  ,  
415.00  ,  315.00  ,  163.00  ,  76.00  ,  293.00  ,  
320.00  ,  358.00  ,  160.00  ,  85.00  ,  297.00  ,  
241.00  ,  352.00  ,  151.00  ,  98.00  ,  294.00  ,  
168.00  ,  319.00  ,  145.00  ,  88.00  ,  288.00  ,  
117.00  ,  299.00  ,  139.00  ,  80.00  ,  278.00  ,  
79.00  ,  294.00  ,  139.00  ,  83.00  ,  270.00  ,  
104.00  ,  302.00  ,  142.00  ,  86.00  ,  267.00  ,  
91.00  ,  312.00  ,  145.00  ,  96.00  ,  264.00  ,  
82.00  ,  313.00  ,  151.00  ,  85.00  ,  265.00  ,  
104.00  ,  318.00  ,  154.00  ,  75.00  ,  271.00  ,  
119.00  ,  319.00  ,  154.00  ,  76.00  ,  274.00  ,  
119.00  ,  320.00  ,  154.00  ,  74.00  ,  273.00  ,  
122.00  ,  318.00  ,  148.00  ,  65.00  ,  267.00  ,  
124.00  ,  306.00  ,  147.00  ,  72.00  ,  256.00  ,  
128.00  ,  290.00  ,  148.00  ,  83.00  ,  248.00  ,  
121.00  ,  282.00  ,  145.00  ,  87.00  ,  247.00  ,  
121.00  ,  278.00  ,  144.00  ,  87.00  ,  252.00  ,  
134.00  ,  272.00  ,  143.00  ,  86.00  ,  256.00  ,  
104.00  ,  252.00  ,  140.00  ,  76.00  ,  259.00  ,  
68.00  ,  241.00  ,  138.00  ,  70.00  ,  261.00  ,  
56.00  ,  235.00  ,  137.00  ,  78.00  ,  257.00  ,  
34.00  ,  237.00  ,  141.00  ,  78.00  ,  251.00  ,  
27.00  ,  241.00  ,  140.00  ,  74.00  ,  245.00  ,  
33.00  ,  238.00  ,  138.00  ,  65.00  ,  240.00  ,  
40.00  ,  237.00  ,  140.00  ,  49.00  ,  236.00  ,  
50.00  ,  240.00  ,  136.00  ,  43.00  ,  234.00  ,  
63.00  ,  247.00  ,  133.00  ,  44.00  ,  235.00  ,  
84.00  ,  267.00  ,  134.00  ,  41.00  ,  237.00  ,  
103.00  ,  272.00  ,  132.00  ,  35.00  ,  238.00  ,  
133.00  ,  272.00  ,  132.00  ,  41.00  ,  240.00  ,  
112.00  ,  265.00  ,  139.00  ,  36.00  ,  240.00  ,  
147.00  ,  256.00  ,  146.00  ,  39.00  ,  239.00  ,  
131.00  ,  244.00  ,  143.00  ,  44.00  ,  237.00  ,  
103.00  ,  237.00  ,  135.00  ,  47.00  ,  235.00  ,  